algorithm,label,sweep_value,modulation_order,code_rate,k_bits,n_bits,effective_code_rate,fer,fer_input_sinr_db,sinr_source,used_sionna,backend,sionna_version,sionna_error,fer_raw,display_fer
du_pf_cognitive,Deep unfolding + cognitive mask,-10.0,4,0.5,1024,2048,0.5,0.9609375,5.594852652400732,p50_sinr_db,True,sionna.phy,1.2.1,,0.9609375,0.9609375
du_pf_cognitive,Deep unfolding + cognitive mask,-5.0,4,0.5,1024,2048,0.5,0.2063802083333333,6.308438252657652,p50_sinr_db,True,sionna.phy,1.2.1,,0.2063802083333333,0.2063802083333333
du_pf_cognitive,Deep unfolding + cognitive mask,0.0,4,0.5,1024,2048,0.5,0.029296875,6.66394342109561,p50_sinr_db,True,sionna.phy,1.2.1,,0.029296875,0.029296875
du_pf_cognitive,Deep unfolding + cognitive mask,5.0,4,0.5,1024,2048,0.5,0.0084635416666666,6.810001112520695,p50_sinr_db,True,sionna.phy,1.2.1,,0.0084635416666666,0.0084635416666666
du_pf_cognitive,Deep unfolding + cognitive mask,10.0,4,0.5,1024,2048,0.5,0.001953125,6.877730883657932,p50_sinr_db,True,sionna.phy,1.2.1,,0.001953125,0.001953125
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,4,0.5,1024,2048,0.5,0.001953125,6.892723824828863,p50_sinr_db,True,sionna.phy,1.2.1,,0.00390625,0.00390625
du_pf_cognitive,Deep unfolding + cognitive mask,20.0,4,0.5,1024,2048,0.5,0.001953125,6.927884437143803,p50_sinr_db,True,sionna.phy,1.2.1,,0.00390625,0.00390625
du_pf_cognitive,Deep unfolding + cognitive mask,25.0,4,0.5,1024,2048,0.5,0.001953125,6.946353144943714,p50_sinr_db,True,sionna.phy,1.2.1,,0.0032552083333333,0.0032552083333333
pf_fs_cognitive,Proportional-fairness + cognitive mask,-10.0,4,0.5,1024,2048,0.5,0.4817708333333333,6.096089944243431,p50_sinr_db,True,sionna.phy,1.2.1,,0.4817708333333333,0.4817708333333333
pf_fs_cognitive,Proportional-fairness + cognitive mask,-5.0,4,0.5,1024,2048,0.5,1e-08,8.82541050389409,p50_sinr_db,True,sionna.phy,1.2.1,,0.0,0.0006510416666666666
pf_fs_cognitive,Proportional-fairness + cognitive mask,0.0,4,0.5,1024,2048,0.5,1e-08,10.773603342473509,p50_sinr_db,True,sionna.phy,1.2.1,,0.0,0.0006510416666666666
pf_fs_cognitive,Proportional-fairness + cognitive mask,5.0,4,0.5,1024,2048,0.5,1e-08,11.885552804917095,p50_sinr_db,True,sionna.phy,1.2.1,,0.0,0.0006510416666666666
pf_fs_cognitive,Proportional-fairness + cognitive mask,10.0,4,0.5,1024,2048,0.5,1e-08,12.33130845054984,p50_sinr_db,True,sionna.phy,1.2.1,,0.0,0.0006510416666666666
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,4,0.5,1024,2048,0.5,1e-08,12.394796930253506,p50_sinr_db,True,sionna.phy,1.2.1,,0.0,0.0006510416666666666
pf_fs_cognitive,Proportional-fairness + cognitive mask,20.0,4,0.5,1024,2048,0.5,1e-08,12.466380927711723,p50_sinr_db,True,sionna.phy,1.2.1,,0.0,0.0006510416666666666
pf_fs_cognitive,Proportional-fairness + cognitive mask,25.0,4,0.5,1024,2048,0.5,1e-08,12.533816359937193,p50_sinr_db,True,sionna.phy,1.2.1,,0.0,0.0006510416666666666
