algorithm,num_bs_ant,num_ut_per_sector,sweep_value,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_violation_watt,protection_satisfaction,final_w_delta,final_history_weighted_sum_rate,batch_index,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,16,4,5.0,306.5814743041992,297.6253204345703,3.649779438972473,2.681850357788564e-07,3.899703711271286,0.6816066950559616,-6.571176290512085,-120.0,0.7886904776096344,0.756696417927742,0.0794326700270176,0.0,1.129205953096971,3.015055650943012e-15,9.930554451907517e-16,3.0050555799677277e-15,0.0,0.07191855646669865,297.62532806396484,1.5,8.0,0.0,1.0,66.06412804415757,2.3027851881883596,1.4198771212375214,0.9043942576359859,6.0,2.0,2.0,2.0,0.5
du_pf_cognitive,16,6,5.0,343.2137756347656,336.77349853515625,2.723918855190277,0.0,2.4239943623542786,0.5621757805347443,-20.59514570236206,-120.0,0.6488095223903656,0.6170634776353836,0.07943266816437244,0.0,1.1283160931197926,1.8935895874320346e-15,8.292979169884776e-16,1.8835895693963096e-15,0.0,0.07615835033357143,336.7735061645508,1.5,8.0,0.0,1.0,71.9122280846832,1.8540364634714463,1.0757100651920666,0.911613169285001,6.0,2.0,2.0,2.0,0.5
du_pf_cognitive,16,8,5.0,405.9262237548828,391.37166595458984,2.4162275791168213,0.0,1.961255520582199,0.5093357563018799,-27.48596429824829,-120.0,0.5803571343421936,0.5502232164144516,0.07943266443908215,0.0,1.1294175332877785,4.515738735516654e-15,8.402019574069394e-16,4.50573866454137e-15,0.0,0.07731268182396889,391.37166595458984,1.5,8.0,0.0,1.0,79.01853230603902,1.7013527016464391,0.9335073435196934,0.8852803037417789,6.0,2.0,2.0,2.0,0.5
du_pf_cognitive,32,4,5.0,448.29283905029297,445.40567779541016,5.336819410324097,0.17512346621369948,5.58730274438858,0.8243875801563263,8.417722702026367,-78.13357853889465,0.8988095223903656,0.8906249850988388,0.07943266443908215,0.0,1.1316887908615172,7.56087827035884e-16,3.8438482201342238e-16,7.460878222350487e-16,0.0,0.07955492474138737,445.40567779541016,1.5,8.0,0.0,1.0,91.7435239804044,3.0393665594684296,2.2779402641881505,0.9579386849869026,6.0,2.0,2.0,2.0,0.5
du_pf_cognitive,32,6,5.0,523.7659759521484,513.7099609375,4.156872749328613,2.6872286618129237e-09,4.492472350597382,0.6987673938274384,-3.779272496700287,-120.0,0.8174603283405304,0.7941468209028244,0.07943266443908215,0.0,1.13497306604404,1.9511034157181773e-15,6.80695264050461e-16,1.9411033712126726e-15,0.0,0.07677088119089603,513.7099685668945,1.5,8.0,0.0,1.0,111.6926314393238,2.5296212094076247,1.6216552262786186,0.9098350749755526,6.0,2.0,2.0,2.0,0.5
du_pf_cognitive,32,8,5.0,587.0758056640625,571.5656433105469,3.4944988489151,0.0,3.7635310292243958,0.6364439874887466,-11.121394157409668,-120.0,0.7380952388048172,0.721726194024086,0.07943266816437244,0.0,1.1301116239046678,7.310124886584943e-16,2.7802094929789916e-16,7.210124706227692e-16,0.0,0.07687438279390335,571.5656433105469,1.5,8.0,0.0,1.0,122.74729479284139,2.1773840969733795,1.2774585451696645,0.9001548385319017,6.0,2.0,2.0,2.0,0.5
du_pf_cognitive,64,4,5.0,695.5220336914062,693.9928283691406,8.28002405166626,4.7394814699888235,8.510992050170898,0.9345464408397675,22.86772108078003,10.77211481332779,0.9791666567325592,0.972470223903656,0.07943267188966274,0.0,1.1449374216608703,2.8467123326864173e-16,1.4657840301275643e-16,2.746712383939738e-16,0.0,0.07692594639956951,693.9928131103516,1.5,8.0,0.0,1.0,124.85459058572008,4.442763470550947,3.827430093612975,0.9900329952531267,6.0,2.0,2.0,2.0,0.5
du_pf_cognitive,64,6,5.0,739.8227081298828,746.5913238525391,5.871608734130859,0.3571192388408235,6.164567649364471,0.8543578684329987,11.318625450134277,-57.2006727695465,0.9265872985124588,0.9146825522184372,0.0794326663017273,0.0,1.1406902255257592,1.2754879141315187e-15,3.4958447999292435e-16,1.2654879490353528e-15,0.0,0.08035717532038689,746.5913238525391,1.5,8.0,0.0,1.0,147.62702520324243,3.2487982185520816,2.6335001033609053,0.9873115556632764,6.0,2.0,2.0,2.0,0.5
du_pf_cognitive,64,8,5.0,845.9618530273438,834.3125762939453,5.0354872941970825,0.00024409763739505745,5.352819859981537,0.7961746007204056,6.067788004875183,-104.22783598899841,0.8854166716337204,0.8686755895614624,0.07943267188966274,0.0,1.1436501597054303,8.331704589790957e-16,2.8377825209272134e-16,8.231704674131502e-16,0.0,0.08243630081415176,834.3125610351562,1.5,8.0,0.0,1.0,174.6044772982715,2.8811729244040913,2.0930363591895564,0.9608041265672567,6.0,2.0,2.0,2.0,0.5
du_pf_soft,16,4,5.0,306.9645690917969,296.6480941772461,3.654340147972107,9.316675785608913e-06,3.8548887073993683,0.6830186247825623,-6.373072773218155,-120.0,0.7767857164144516,0.7499999850988388,0.07943266816437244,0.0,1.178549281670712,9.085456869058575e-15,2.5158875413625872e-15,9.07545679808329e-15,0.0,0.0715454462915659,296.64808654785156,1.5,8.0,0.0,1.0,65.92528302076816,2.3006208472118823,1.3990184908868162,0.9027542524785732,6.0,,,,
