algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
du_pf_cognitive,10.0,3.5,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,-0.8437423706054688,-0.002285045010474815,-0.022817455232143402,0.0
du_pf_cognitive,20.0,3.5,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-4.3550262451171875,-0.004363748993551145,-0.028769835829734802,0.0
du_pf_cognitive,50.0,3.5,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,-6.695209503173828,-0.00802431227269318,-0.059523798525333405,0.0
du_pf_cognitive,100.0,3.5,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,-1.9438858032226562,-0.011442484779687484,-0.066468246281147,0.0
du_pf_cognitive,200.0,3.5,999999.9999999999,99999.99999999999,1023750.0,1.0237500000000002,10.2375,0.0,0.0,-3.4042701721191406,-0.012694992048909962,-0.0962301567196846,0.0
du_pf_cognitive,400.0,3.5,499999.99999999994,49999.99999999999,1023750.0,2.0475000000000003,20.475,0.0,0.0,4.630592346191406,-0.012537165662388716,-0.0833333283662796,0.0
du_pf_cognitive,800.0,3.5,249999.99999999997,24999.999999999996,1023750.0,4.095000000000001,40.95,0.0,0.0,-3.7483901977539062,-0.012355693889597522,-0.0942460224032402,0.0
du_pf_soft,10.0,3.5,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,2.7047958374023438,-0.0011400996919523482,-0.0238095223903656,0.0
du_pf_soft,20.0,3.5,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-4.5072021484375,-0.003926064950946329,-0.0287698432803154,0.0
du_pf_soft,50.0,3.5,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,-6.385463714599609,-0.007640340224176312,-0.0615079402923584,0.0
du_pf_soft,100.0,3.5,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,-2.6753005981445312,-0.011124173992691375,-0.0694444477558136,0.0
du_pf_soft,200.0,3.5,999999.9999999999,99999.99999999999,1023750.0,1.0237500000000002,10.2375,0.0,0.0,-2.078418731689453,-0.01230549054339311,-0.09920634329319,0.0
du_pf_soft,400.0,3.5,499999.99999999994,49999.99999999999,1023750.0,2.0475000000000003,20.475,0.0,0.0,-0.3553314208984375,-0.01220100395063714,-0.0873015820980072,0.0
du_pf_soft,800.0,3.5,249999.99999999997,24999.999999999996,1023750.0,4.095000000000001,40.95,0.0,0.0,-5.1382598876953125,-0.011755326441054564,-0.0912698358297348,0.0
pf_fs_cognitive,10.0,3.5,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,0.8357925415039062,-0.0016960661896212315,-0.012896828353404999,0.0
pf_fs_cognitive,20.0,3.5,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-2.9199600219726562,-0.0035628227327735434,-0.028769850730895996,0.0
pf_fs_cognitive,50.0,3.5,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,-6.480445861816406,-0.007493637095469172,-0.069444440305233,0.0
pf_fs_cognitive,100.0,3.5,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,-0.6064453125,-0.010021983646558055,-0.069444440305233,0.0
pf_fs_cognitive,200.0,3.5,999999.9999999999,99999.99999999999,1023750.0,1.0237500000000002,10.2375,0.0,0.0,-1.3084869384765625,-0.010448414326699226,-0.10416664928197861,0.0
pf_fs_cognitive,400.0,3.5,499999.99999999994,49999.99999999999,1023750.0,2.0475000000000003,20.475,0.0,0.0,0.2127838134765625,-0.009497597658310056,-0.08730156719684601,0.0
pf_fs_cognitive,800.0,3.5,249999.99999999997,24999.999999999996,1023750.0,4.095000000000001,40.95,0.0,0.0,-2.5058364868164062,-0.00982988703803317,-0.11011902242898941,0.0
pf_fs_soft,10.0,3.5,20000000.0,2000000.0,1023750.0,0.0511875,0.511875,1.0,1.0,1.4391708374023438,-0.001989767273713819,-0.0257936492562294,0.0
pf_fs_soft,20.0,3.5,10000000.0,1000000.0,1023750.0,0.102375,1.02375,1.0,0.0,-4.604156494140625,-0.0037663152466211186,-0.0446428507566452,0.0
pf_fs_soft,50.0,3.5,3999999.9999999995,399999.99999999994,1023750.0,0.25593750000000004,2.559375,1.0,0.0,-5.816825866699219,-0.0063972250323265645,-0.065476194024086,0.0
pf_fs_soft,100.0,3.5,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,-0.8839035034179688,-0.009774670593225301,-0.0753968209028244,0.0
pf_fs_soft,200.0,3.5,999999.9999999999,99999.99999999999,1023750.0,1.0237500000000002,10.2375,0.0,0.0,-1.4427719116210938,-0.010174091303871202,-0.0992063507437706,0.0
pf_fs_soft,400.0,3.5,499999.99999999994,49999.99999999999,1023750.0,2.0475000000000003,20.475,0.0,0.0,1.868621826171875,-0.010644351077507816,-0.0843254029750824,0.0
pf_fs_soft,800.0,3.5,249999.99999999997,24999.999999999996,1023750.0,4.095000000000001,40.95,0.0,0.0,-2.9290542602539062,-0.010208193741426647,-0.1091269701719284,0.0
