algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
pf_fs_soft,10.0,0.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,28.409912109375,-0.0053216946867740145,-0.0317460298538208,-0.1666666865348816
pf_fs_cognitive,10.0,0.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,3.059600830078125,-0.004822354509560922,-0.03968250751495361,0.08333337306976318
du_pf_soft,10.0,0.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,19.279708862304688,-0.0031226392971963612,0.0158730149269104,0.08333331346511841
du_pf_cognitive,10.0,0.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,2.916473388671875,-0.006213037798266208,-0.023809492588043213,0.0
pf_fs_soft,10.0,1.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,17.456024169921875,-0.004350252942572408,0.007936537265777588,0.0
pf_fs_cognitive,10.0,1.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,30.870208740234375,-0.004565570277516695,-0.007936537265777588,-0.1666666865348816
du_pf_soft,10.0,1.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-0.4041900634765625,-0.003130061555745023,0.0158730149269104,0.1666666865348816
du_pf_cognitive,10.0,1.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,23.082733154296875,-0.002624312684999186,0.0158730149269104,0.08333331346511841
pf_fs_soft,10.0,2.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,4.4940185546875,-0.0011440375590074936,-0.0158730149269104,0.0833333358168602
pf_fs_cognitive,10.0,2.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,7.03118896484375,-0.005698980798092057,-0.007936477661132812,-0.1666666567325592
du_pf_soft,10.0,2.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-1.2471771240234375,-0.0048958881030157775,-0.007936537265777588,0.1666666641831398
du_pf_cognitive,10.0,2.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.16900634765625,-0.0034946848194892244,-0.0158730149269104,0.2500000298023224
pf_fs_soft,10.0,3.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,120.90673828125,-0.007400150885699119,-0.0158730149269104,0.5
pf_fs_cognitive,10.0,3.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,33.43310546875,-0.0023962169495856944,-0.0476190447807312,-0.08333337306976318
du_pf_soft,10.0,3.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.3397064208984375,-0.0032756171142150903,0.0,0.0833333358168602
du_pf_cognitive,10.0,3.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,17.691986083984375,-0.005753878897864162,0.0,-0.08333331346511841
pf_fs_soft,10.0,4.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-0.62164306640625,-0.0021159747654204697,-0.007936477661132812,0.0
pf_fs_cognitive,10.0,4.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-6.84222412109375,-0.0037499911481850834,-0.0317460298538208,-0.08333331346511841
du_pf_soft,10.0,4.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,11.885284423828125,-0.004567198032856323,0.0158730149269104,0.2499999850988388
du_pf_cognitive,10.0,4.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-9.7401123046875,-0.0026110667920618003,-0.0158730149269104,-0.16666662693023682
pf_fs_soft,10.0,5.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,74.84185791015625,-0.00610921387941743,0.007936537265777588,0.5000000298023224
pf_fs_cognitive,10.0,5.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-4.25286865234375,-0.0031884594996578475,-0.023809492588043213,0.08333331346511841
du_pf_soft,10.0,5.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,4.11083984375,-0.0025648517026828355,-0.0158730149269104,-0.2499999850988388
du_pf_cognitive,10.0,5.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,7.343048095703125,-0.00245639563734823,-0.0158730149269104,0.0
pf_fs_soft,10.0,6.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-7.40057373046875,-0.003959545171079992,-0.007936477661132812,0.0833333358168602
pf_fs_cognitive,10.0,6.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,14.081146240234375,-0.005409905710878404,-0.0317460298538208,0.0
