algorithm,tau_rms_ns,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
du_pf_cognitive,10.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,6.956637382507324,-0.0032948858155616217,-0.007936500012874603,0.01302083209156991
du_pf_cognitive,20.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,13.453924655914307,-0.004383593824086113,-0.014384917914867382,0.0026041679084300995
du_pf_cognitive,50.0,4000000.0,400000.0,511875.0,0.12796875,1.2796875,1.0,0.0,23.261098384857178,-0.00560247401864779,-0.025545628741383528,0.010416665114462376
du_pf_cognitive,100.0,2000000.0,200000.0,511875.0,0.2559375,2.559375,1.0,0.0,31.822715759277344,-0.006316659751636366,-0.02752975374460219,0.07552083348855376
du_pf_cognitive,200.0,1000000.0,100000.0,511875.0,0.5118750000000001,5.11875,1.0,0.0,38.657798290252686,-0.006880001780142263,-0.026289675384759896,0.08593749906867743
du_pf_cognitive,400.0,500000.0,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,41.03125238418579,-0.007077630577721528,-0.03348213620483873,0.10156250093132257
du_pf_cognitive,800.0,250000.0,25000.0,511875.0,2.0475000000000003,20.475,0.0,0.0,41.77326202392578,-0.007181619993887762,-0.029017852619290335,0.11979166185483336
du_pf_soft,10.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,5.423975944519043,-0.003529725542899694,-0.005456348881125437,0.08333333325572312
du_pf_soft,20.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,8.943653583526611,-0.004340051195193122,-0.005704361945390703,0.0833333320915699
du_pf_soft,50.0,4000000.0,400000.0,511875.0,0.12796875,1.2796875,1.0,0.0,16.07301139831543,-0.005269008809874894,-0.01264880783855914,0.12239583395421505
du_pf_soft,100.0,2000000.0,200000.0,511875.0,0.2559375,2.559375,1.0,0.0,19.262432098388672,-0.00561729874264425,-0.013144835829734794,0.11718750093132257
du_pf_soft,200.0,1000000.0,100000.0,511875.0,0.5118750000000001,5.11875,1.0,0.0,23.189416885375977,-0.0060659134900776625,-0.010416660457849494,0.1432291662786156
du_pf_soft,400.0,500000.0,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,24.356541633605957,-0.0062122880414200565,-0.013640873134136191,0.14583333441987634
du_pf_soft,800.0,250000.0,25000.0,511875.0,2.0475000000000003,20.475,0.0,0.0,25.958558559417725,-0.0062139279220916315,-0.009176587685942634,0.12499999906867743
pf_fs_cognitive,10.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,7.249542713165283,-0.0036081410695082937,-0.031498009338974925,-0.015624997206032283
pf_fs_cognitive,20.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,14.415571689605713,-0.005375705616611847,-0.04489087127149103,-0.026041669771075235
pf_fs_cognitive,50.0,4000000.0,400000.0,511875.0,0.12796875,1.2796875,1.0,0.0,23.770162105560303,-0.008502019568704597,-0.06423610635101792,-0.015624999999999997
pf_fs_cognitive,100.0,2000000.0,200000.0,511875.0,0.2559375,2.559375,1.0,0.0,42.11585855484009,-0.010550621105167694,-0.07316467911005017,0.031250000465661294
pf_fs_cognitive,200.0,1000000.0,100000.0,511875.0,0.5118750000000001,5.11875,1.0,0.0,52.39657211303711,-0.011846631396064553,-0.08085316792130468,0.03385416325181723
pf_fs_cognitive,400.0,500000.0,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,58.67420434951782,-0.012734801045253987,-0.08556547015905379,0.03385416604578496
pf_fs_cognitive,800.0,250000.0,25000.0,511875.0,2.0475000000000003,20.475,0.0,0.0,63.48094415664673,-0.013126996361682847,-0.08333333022892472,0.002604169771075256
pf_fs_soft,10.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,17.80415153503418,-0.004048003489729878,-0.01314483955502509,0.057291670003905885
pf_fs_soft,20.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,31.271344661712646,-0.005538252818373375,-0.013144841417670241,0.08072916860692203
pf_fs_soft,50.0,4000000.0,400000.0,511875.0,0.12796875,1.2796875,1.0,0.0,51.2006139755249,-0.007540663886208165,-0.02132936194539069,0.13020833116024733
pf_fs_soft,100.0,2000000.0,200000.0,511875.0,0.2559375,2.559375,1.0,0.0,65.39166259765625,-0.008692739902252378,-0.026537699624896036,0.16666666674427688
pf_fs_soft,200.0,1000000.0,100000.0,511875.0,0.5118750000000001,5.11875,1.0,0.0,84.53843212127686,-0.009519448317710441,-0.018601190298795686,0.28385416814126074
pf_fs_soft,400.0,500000.0,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,93.36786651611328,-0.010070065080891179,-0.020585317164659476,0.3072916658129543
pf_fs_soft,800.0,250000.0,25000.0,511875.0,2.0475000000000003,20.475,0.0,0.0,87.71650981903076,-0.00999614185977556,-0.01785713806748389,0.2734374979045242
